preset,metric,p10,p25,p50,p75,p90,mean,std,min,max
Small,solutionPathCells,90.000000,93.000000,99.000000,109.000000,121.000000,102.546000,12.474770,83.000000,157.000000
Small,solutionPathFraction,0.225000,0.232500,0.247500,0.272500,0.302500,0.256365,0.031187,0.207500,0.392500
Small,solutionTurns,53.000000,56.000000,61.000000,68.000000,75.000000,62.624000,9.136226,45.000000,108.000000
Small,turnsPer100PathCells,54.545455,58.163265,61.261261,64.423077,66.666667,61.067765,4.844180,44.954128,76.530612
Small,solutionDecisionPoints,19.000000,22.000000,25.000000,28.000000,31.000000,24.920000,4.547703,13.000000,40.000000
Small,decisionPointsPer100PathCells,19.148936,21.359223,24.468085,27.272727,30.107527,24.435644,4.245739,12.962963,35.714286
Small,averageWrongBranchLength,4.486486,5.090909,5.741935,6.500000,7.318182,5.852844,1.128179,3.243902,10.923077
Small,maxWrongBranchLength,26.000000,29.000000,35.000000,41.000000,50.000000,36.440000,10.346903,15.000000,83.000000
Small,zoneCoverage,0.625000,0.625000,0.687500,0.750000,0.812500,0.706250,0.091387,0.437500,1.000000
Small,minSpan,0.684211,0.789474,0.894737,1.000000,1.000000,0.873474,0.133531,0.473684,1.000000
Small,generationTimeMs,0.268661,0.290360,0.516214,0.796872,1.247690,0.644380,0.607595,0.257119,8.161425
Small,compositeScore,0.832475,0.866227,0.914214,0.992194,1.073295,0.936392,0.095426,0.782009,1.246810
Small,difficultyScore,0.552276,0.568153,0.585009,0.593827,0.600645,0.579819,0.020335,0.495873,0.622292
Medium,solutionPathCells,519.000000,563.000000,645.000000,717.000000,797.000000,648.698000,104.690834,434.000000,966.000000
Medium,solutionPathFraction,0.324375,0.351875,0.403125,0.448125,0.498125,0.405436,0.065432,0.271250,0.603750
Medium,solutionTurns,326.000000,362.000000,413.000000,460.000000,507.000000,413.666000,68.565140,276.000000,611.000000
Medium,turnsPer100PathCells,61.360347,62.630480,63.681592,65.109489,66.164154,63.747331,1.912973,57.096774,69.072165
Medium,solutionDecisionPoints,40.000000,46.000000,53.000000,61.000000,69.000000,54.082000,11.695096,27.000000,98.000000
Medium,decisionPointsPer100PathCells,6.988353,7.591241,8.277027,9.030100,9.788868,8.323556,1.085311,5.430712,11.465721
Medium,averageWrongBranchLength,6.689189,8.055556,9.896552,12.348837,14.531915,10.314410,3.073255,3.724490,21.090909
Medium,maxWrongBranchLength,86.000000,113.000000,160.000000,214.000000,274.000000,168.920000,73.217085,38.000000,395.000000
Medium,zoneCoverage,0.875000,0.875000,0.937500,1.000000,1.000000,0.943250,0.064938,0.687500,1.000000
Medium,minSpan,1.000000,1.000000,1.000000,1.000000,1.000000,0.994308,0.023510,0.820513,1.000000
Medium,generationTimeMs,0.965199,0.996928,1.070820,1.301886,1.451604,1.189728,0.296474,0.860092,2.958246
Medium,compositeScore,0.847715,0.908322,1.001435,1.074887,1.154508,0.997844,0.114397,0.781655,1.250000
Medium,difficultyScore,0.455539,0.462117,0.470051,0.476665,0.482656,0.469331,0.010834,0.438238,0.503631
Large,solutionPathCells,1050.000000,1172.000000,1308.000000,1454.000000,1565.000000,1314.984000,201.097061,907.000000,1910.000000
Large,solutionPathFraction,0.291667,0.325556,0.363333,0.403889,0.434722,0.365273,0.055860,0.251944,0.530556
Large,solutionTurns,664.000000,745.000000,838.000000,937.000000,1007.000000,842.144000,131.532396,589.000000,1211.000000
Large,turnsPer100PathCells,62.166285,63.212851,64.126528,64.847364,65.586520,64.021873,1.306169,59.293680,67.690957
Large,solutionDecisionPoints,78.000000,89.000000,101.000000,113.000000,127.000000,101.558000,18.703760,57.000000,164.000000
Large,decisionPointsPer100PathCells,6.747536,7.179115,7.709414,8.243728,8.766486,7.721269,0.777287,5.668733,10.124481
